"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dense_1_units","dense_2_units","dropout","learning_rate","method","metric.goal","metric.name","parameters.dense_1_unitss","parameters.dense_2_unitss","parameters.dropouts","parameters.learning_rates","val_accuracy","val_loss"
"dry-sweep-1","finished","-","","","2026-04-05T10:11:05.000Z","134","48r52rvo","512","64","0.1","0.01","","","","","","","","0.09604166448116302","2.304176568984986"
"graceful-sweep-6","finished","-","","","2026-04-05T10:26:20.000Z","154","48r52rvo","96","16","0.3","0.01","","","","","","","","0.09604166448116302","2.304138660430908"
"wild-sweep-31","finished","-","","","2026-04-05T11:54:44.000Z","143","48r52rvo","512","32","0.3","0.01","","","","","","","","0.09604166448116302","2.3047361373901367"
"swift-sweep-16","finished","-","","","2026-04-05T11:04:04.000Z","89","48r52rvo","96","96","0.5","0.01","","","","","","","","0.08833333104848862","2.304659605026245"
"magic-sweep-23","finished","-","","","2026-04-05T11:27:48.000Z","195","48r52rvo","96","128","0.5","0.01","","","","","","","","0.08833333104848862","2.3044230937957764"
"glorious-sweep-10","finished","-","","","2026-04-05T10:42:20.000Z","106","48r52rvo","512","32","0.5","0.01","","","","","","","","0.08833333104848862","2.3044044971466064"
"cosmic-sweep-2","failed","-","","","2026-04-04T22:29:08.000Z","4","00jt16s7","256","16","0.5","0.001","","","","","","","","",""
"good-sweep-1","crashed","-","","","2026-04-04T22:30:05.000Z","67","513y41ea","256","64","0.5","0.001","","","","","","","","",""
"likely-sweep-5","crashed","-","","","2026-04-05T08:36:54.000Z","113","0mg27k8n","128","96","0.1","0.001","","","","","","","","",""
"peachy-sweep-1","failed","-","","","2026-04-04T22:29:03.000Z","3","00jt16s7","512","64","0.5","0.1","","","","","","","","",""
"chocolate-sweep-3","failed","-","","","2026-04-04T22:29:14.000Z","4","00jt16s7","512","96","0.5","0.01","","","","","","","","",""
